                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.3346,                0.39157,                0.95846,                0.98032,                      1,                  0.995,                0.95913,                0.28143,                0.32784,                0.81825,             0.00063676,             0.00063676,             0.00063676
                     58,                0.33311,                0.38012,                0.95185,                0.98193,                      1,                  0.995,                0.95766,                0.27659,                0.27885,                0.78931,             0.00062262,             0.00062262,             0.00062262
                     59,                0.32617,                0.37509,                0.95727,                0.95563,                0.99916,                  0.995,                0.95383,                0.27793,                0.30662,                 0.8003,             0.00060847,             0.00060847,             0.00060847
                     60,                0.31768,                0.37469,                0.95167,                0.97595,                      1,                  0.995,                0.95771,                0.27973,                0.29528,                0.82343,             0.00059432,             0.00059432,             0.00059432
                     61,                0.32754,                0.39605,                0.95254,                0.97649,                 0.9545,                  0.995,                0.95975,                0.28826,                0.31645,                0.82286,             0.00058017,             0.00058017,             0.00058017
                     62,                0.32566,                0.38171,                0.95333,                0.97188,                0.93777,                  0.995,                 0.9583,                0.27696,                0.34392,                0.80393,             0.00056603,             0.00056603,             0.00056603
                     63,                0.31395,                0.36178,                0.95255,                0.97781,                0.94837,                  0.995,                0.96545,                0.30215,                0.32943,                 0.8045,             0.00055188,             0.00055188,             0.00055188
                     64,                0.30172,                0.34686,                0.93156,                0.98145,                      1,                  0.995,                0.96557,                0.30031,                0.27545,                0.85046,             0.00053773,             0.00053773,             0.00053773
                     65,                0.31809,                0.35409,                0.95201,                0.98082,                      1,                  0.995,                0.96022,                0.27853,                0.29896,                0.80157,             0.00052359,             0.00052359,             0.00052359
                     66,                0.29776,                0.35423,                0.94692,                0.95182,                0.98907,                  0.995,                0.94396,                0.32187,                0.34649,                0.86381,             0.00050944,             0.00050944,             0.00050944
                     67,                0.30303,                0.34739,                0.94416,                0.96219,                      1,                  0.995,                0.96119,                0.28943,                0.29608,                0.81951,             0.00049529,             0.00049529,             0.00049529
                     68,                0.29697,                0.35409,                 0.9343,                0.96369,                      1,                  0.995,                0.96877,                 0.2602,                0.35432,                0.80588,             0.00048114,             0.00048114,             0.00048114
                     69,                0.29466,                0.33958,                0.94012,                0.98381,                      1,                  0.995,                0.97801,                0.25522,                0.31242,                0.80324,               0.000467,               0.000467,               0.000467
